Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
"SMITH TRACTOR & EQUIPMENT, INC.",NBM437687,,L218,0011634229,,Delivered to Destination,ZT56,1/8/13,3:17:35 PM,WASHINGTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
SCOTT EQUIPMENT INC,NBM433679,,L225,0011637645,,Delivered to Destination,ZT56,2/18/13,10:17:52 AM,FONTANA,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"RANDALL IMPLEMENT CO., INC.",NBM430172,,SR200,0011632818,,Delivered to Destination,ZT56,1/18/13,2:18:29 PM,FULTONVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NBM429158,,SV185,0011627769,,Delivered to Destination,ZT56,3/20/13,6:18:09 PM,ABERDEEN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"SOUTHEASTERN EQUIPMENT CO., INC.",NBM436053,,L220,0011634049,,Delivered to Destination,ZT56,3/11/13,10:18:09 AM,FORT WAYNE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium-Liner (70 OTW),,,Retail
"CROSS, ANCIL B.",NBM435989,,L220,0011637484,,Delivered to Destination,ZT56,1/7/13,1:18:27 PM,JACKSON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"AG-INDUSTRIAL, INC.",NBM437912,,L218,0011636396,,Delivered to Destination,ZT56,2/28/13,3:22:39 PM,RISING SUN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NBM428223,,SR175,0011641512,,Delivered to Destination,ZT56,2/28/13,2:49:32 PM,AVOCA,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
BOB MARK NEW HOLLAND SALES LIMITED,NBM434681,,L223,0011635294,,Delivered to Destination,ZT56,4/22/13,1:33:30 PM,CAMPBELLFORD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
TITAN MACHINERY INC.,NCM446336,,L225,0011633850,,Delivered to Destination,ZT56,1/9/13,11:17:57 AM,SIOUX FALLS,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"DRAGOON'S FARM EQUIPMENT, INC.",NBM426582,,SR150,0011637192,,Delivered to Destination,ZT56,3/28/13,3:18:29 PM,MOOERS,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
