Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
TITAN MACHINERY INC.,NDM461498,SR220,SR220-T4 INTERIM,0011980482,,Delivered to Destination,ZT56,4/3/13,7:31:24 PM,DAVENPORT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NDM461509,SR220,SR220-T4A,0011980484,,Delivered to Destination,ZT56,4/1/13,11:33:22 AM,DAVENPORT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NDM443195,SR250,SR250-T4 INTERIM,0011980641,,Delivered to Destination,ZT56,3/29/13,11:04:07 AM,CENTER POINT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NDM460929,SV250,SV250-T4A,0011980672,,Delivered to Destination,ZT56,4/15/13,12:25:22 PM,LE MARS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NDM472314,L230,L230-T4A,0011980854,,Delivered to Destination,ZT56,3/28/13,8:17:10 AM,LE MARS,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
TITAN MACHINERY INC.,NDM443193,SR250,SR250-T4 INTERIM,0011980897,,Delivered to Destination,ZT56,3/29/13,11:03:58 AM,LINCOLN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Retail
"MILLER-BRADFORD & RISBERG, INC.",NDM443171,SR250,SR250-T4A,0011981771,,Delivered to Destination,ZT56,3/29/13,10:32:14 AM,SUSSEX,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
SOCIETE COOP AGRICOLE DES BOIS-FRAN,NAM414780,L170 SSL Tier 3,L170,0011478456,"12 X 16.5, 8 PLY SOLIDEAL",Delivered to Destination,ZT56,4/17/13,2:18:47 PM,VICTORIAVILLE,NA NH,WI01,WI01,NA NH AGCE,,,,Retail
"KANEQUIP, INC.",N9M405865,L185 SSL Tier 3,L185,0011449179,"12X16.5, 10PR BBII TIRE",Outbound Delivery Shipped,ZT54,6/28/13,5:26:38 PM,IN TRANSIT,NA NH,WI01,WI01,NA NH AGCE,,,,Retail
RICORP BALT,NDM454650,,SR200-NA,0011945469,,Export Vessel Sailed,ZT72,5/22/13,9:56:03 AM,IN TRANSIT,BELARU CSL,WI01,WI01,BELARUS CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
LLC COMPANY SIM-AUTO,NDM454653,,SR200-NA,0011945470,,Export Vessel Sailed,ZT72,5/29/13,12:11:02 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
WEAGANT FARM SUPPLIES LIMITED,NDM456647,,L220,0011963378,,Delivered to Destination,ZT56,5/24/13,11:22:15 AM,WINCHESTER,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM454810,,SR200NA CASE,0011928161,,Export Vessel Sailed,ZT72,4/15/13,11:30:40 AM,IN TRANSIT,BRZ CASE,WI01,WI01,BRAZIL CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM454963,,SR200NA CASE,0011928162,,Export Vessel Sailed,ZT72,4/25/13,1:27:37 PM,IN TRANSIT,BRZ CASE,WI01,WI01,BRAZIL CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
NEW HOLLAND CONSTRUCTION MACHINERY,NDM458024,,L218-EU,0011966274,,Export Vessel Sailed,ZT72,5/14/13,9:13:44 PM,IN TRANSIT,BELG NH L,WI01,WI01,LOC BELGIUM NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
ACTIO RUS OOO,NDM466484,,SV185-NA,0011968619,,Export Vessel Sailed,ZT72,7/15/13,4:02:20 PM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NEW HOLLAND CONSTRUCTION MACHINERY,NDM459133,,L213-EU,0011966275,,Export Vessel Sailed,ZT72,7/17/13,2:36:40 PM,IN TRANSIT,BELG NH L,WI01,WI01,LOC BELGIUM NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
NEW HOLLAND CONSTRUCTION MACHINERY,NDM476856,,L218-EU,0011966276,,Export Vessel Sailed,ZT72,6/18/13,8:08:05 PM,IN TRANSIT,ITALY NH,WI01,WI01,ITALY NH,10x16.5 Premium (64 OTW),,,Dealer Inventory
"MILWAUKEE TRACTOR & EQUIPMENT, INC.",NDM448842,,L218,0011938168,,Delivered to Destination,ZT56,6/25/13,10:26:25 AM,MILWAUKEE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
"MILWAUKEE TRACTOR & EQUIPMENT, INC.",NDM448970,,L218,0011938170,,Outbound Delivery Shipped,ZT54,6/25/13,10:27:38 AM,MILWAUKEE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
O'NEIL'S FARM EQUIPMENT (1971) LIMI,NDM444171,,SV185,0011964153,,Delivered to Destination,ZT56,4/30/13,7:58:27 AM,BINBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Matured Financing
"CASE MEXICO, S.A. DE C.V.",NDM455006,,SR200,0011981991,,Delivered to Destination,ZT56,5/14/13,5:20:32 PM,BROWNSVILLE,MEX CASE,WI01,WI01,MEXICO CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
O'NEIL'S FARM EQUIPMENT (1971) LIMI,NDM444177,,SV185,0011964154,,Delivered to Destination,ZT56,4/30/13,7:58:58 AM,BINBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Matured Financing
O'NEIL'S FARM EQUIPMENT (1971) LIMI,NDM444175,,SV185,0011964155,,Delivered to Destination,ZT56,4/30/13,7:58:43 AM,BINBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Retail
STOLTZ SALES & SERVICE (MILDMAY) LI,NDM444176,,SV185,0011964156,,Delivered to Destination,ZT56,4/29/13,9:22:38 AM,MILDMAY,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Retail
"CASE MEXICO, S.A. DE C.V.",NDM455008,,SR200,0011981992,,Delivered to Destination,ZT56,5/14/13,5:20:33 PM,BROWNSVILLE,MEX CASE,WI01,WI01,MEXICO CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
STOLTZ SALES & SERVICE (ELMIRA) LIM,NDM444178,,SV185,0011964157,,Delivered to Destination,ZT56,4/29/13,9:21:06 AM,ELMIRA,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NBM435143,,SV250 NA,0011508786,,Delivered to Destination,ZT56,5/30/13,1:13:58 PM,AMARILLO,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
BAKER & SONS EQUIPMENT CO.,NDM452778,,L223,0011938175,,Delivered to Destination,ZT56,5/9/13,1:19:20 PM,LEWISVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
HUMBOLDT IMPLEMENT COMPANY INC,NBM433950,,SR250 NA,0011537992,,Delivered to Destination,ZT56,4/30/13,1:39:39 PM,HUMBOLDT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Matured Financing
"LARRY ROMANCE & SON, INC.",NDM449129,,L218,0011934577,,Delivered to Destination,ZT56,5/3/13,2:18:29 PM,ARCADE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
THE VICTOR L. PHILLIPS COMPANY,NDM454991,,SR200,0011979276,,Outbound Delivery Shipped,ZT54,5/3/13,3:09:25 PM,IN TRANSIT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium-Liner (70 OTW),,,Premier Rental DRY
"B & R FARM EQUIPMENT, INC.",NBM439508,,L215,0011635836,,Delivered to Destination,ZT56,6/4/13,7:18:47 AM,BEAVERTOWN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"EVOLUTION AG, LLC",NBM429350,,SV185,0011633005,,Delivered to Destination,ZT56,,12:00:00 AM,UPPER SANDUSKY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LARRY ROMANCE & SON, INC.",NBM439441,,L215,0011629321,,Delivered to Destination,ZT56,4/29/13,7:47:33 AM,ARCADE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (59 OTW),,,Retail
TITAN MACHINERY INC.,NBM431604,,SR220,0011628639,,Delivered to Destination,ZT56,6/14/13,2:18:02 PM,LA MOURE,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
"LAMB & WEBSTER, INC.",NBM436212,,L220,0011633281,,Delivered to Destination,ZT56,6/27/13,10:18:32 AM,SPRINGVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
CNH Industrial Belgium NV,NBM434534,,SR250-EU,0011640425,,Export On the Vessel,ZT71,6/26/13,12:42:10 PM,IN TRANSIT,BALT CASEL,WI01,WI01,LOC BALTICS CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
"HILLS MACHINERY COMPANY, LLC",NBM424894,,SR130,0011632800,,Delivered to Destination,ZT56,4/30/13,12:20:07 PM,NORTH CHARLESTON,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
TITAN MACHINERY INC.,NBM430173,,SR200,0011633342,,Delivered to Destination,ZT56,5/31/13,7:47:28 PM,GRAND FORKS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"GELLINGS IMPLEMENT, INC.",NBM433062,,L225,0011631925,,Delivered to Destination,ZT56,4/29/13,1:47:53 PM,EDEN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"ZIMMERMAN'S FARM SERVICE, INC.",NBM426483,,SR150,0011633642,,Delivered to Destination,ZT56,12/2/13,10:07:37 AM,BETHEL,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"EQUIPMENT DEPOT, LTD.",NBM434656,,L223,0011636441,,Delivered to Destination,ZT56,4/25/13,10:18:10 AM,PFLUGERVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium-Liner (70 OTW),,,Retail
"ALMA TRACTOR & EQUIPMENT, INC.",NBM439468,,L215,0011633697,,Delivered to Destination,ZT56,6/7/13,2:17:20 PM,ALMA,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"FOUR M EQUIPMENT SALES, INC.",NBM433426,,L225,0011630499,,Delivered to Destination,ZT56,6/19/13,6:21:48 PM,VESTAL,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
"SONSRAY MACHINERY, LLC",NDM454781,,SR200,0011972825,,Delivered to Destination,ZT56,5/3/13,12:37:06 PM,FONTANA,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
"ADKINS EQUIPMENT, INC.",NBM438166,,L218,0011655977,,Delivered to Destination,ZT56,5/30/13,9:17:35 PM,DETROIT LAKES,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"ROCKINGHAM NEW HOLLAND, INC.",NBM433650,,L225,0011650153,,Delivered to Destination,ZT56,4/24/13,11:19:05 AM,HARRISONBURG,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
ST. CATHARINES NEW HOLLAND LTD.,NBM439249,,L215,0011648816,,Delivered to Destination,ZT56,5/17/13,3:19:21 PM,ST CATHARINES,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (59 OTW),,,Retail
HEHLI-VOLD CORPORATION,NDM449146,,L218,0011933658,,Delivered to Destination,ZT56,5/3/13,1:24:24 PM,BALDWIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"SALEM FARM SUPPLY, INC.",NBM429369,,SV185,0011663976,,Delivered to Destination,ZT56,6/18/13,3:17:46 PM,SALEM,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
"DON'S TRACTOR & EQUIPMENT SALES, IN",NBM439573,,L215,0011671334,,Delivered to Destination,ZT56,5/17/13,9:19:04 AM,ALPENA,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NBM424918,,SR130,0011665715,,Delivered to Destination,ZT56,5/29/13,8:47:46 AM,MANOR,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"WALLDROFF FARM EQUIPMENT, INC.",NBM437884,,L218,0011668422,,Delivered to Destination,ZT56,4/30/13,11:48:15 AM,WATERTOWN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"DEE IMPLEMENT OF WAUKON, INC.",NBM438463,,L218,0011669592,,Delivered to Destination,ZT56,4/15/13,9:17:26 AM,WAUKON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"COWIN EQUIPMENT COMPANY, INC.",NBM435473,,SV250,0011668813,,Delivered to Destination,ZT56,4/23/13,4:18:02 PM,MADISON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"APPLE FARM SERVICE, INC.",NBM424916,,SR130,0011666229,,Delivered to Destination,ZT56,6/26/13,9:17:42 AM,WEST COLLEGE CORNER,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
TORRENCE'S FARM IMPLEMENTS,NBM434652,,L223,0011673152,,Delivered to Destination,ZT56,5/3/13,6:18:41 PM,HEBER,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
ROBERT'S FARM EQUIPMENT SALES INC.,NBM436474,,L220,0011676077,,Delivered to Destination,ZT56,5/31/13,3:18:23 PM,CHESLEY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
WICKHAM TRACTOR CO.,NBM430655,,SR200,0011679650,,Delivered to Destination,ZT56,6/24/13,4:18:24 PM,FORT MORGAN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MASON CITY RED POWER, INC.",NBM429357,,SV185,0011673287,,Delivered to Destination,ZT56,5/21/13,2:17:57 PM,MASON CITY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
CNH INDUSTRIAL (RUSSIA) COMMERCIAL,NBM437924,,L218-NA,0011697622,,Export Arrived at Port of Load,ZT70,6/29/13,8:28:10 AM,IN TRANSIT,RUSSIA NHL,WI01,WI01,RUSSIA NH AGCE LOC,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
"SMITH'S MILL IMPLEMENT, INC.",NCM448778,,L218,0011928910,,Delivered to Destination,ZT56,4/22/13,12:24:08 PM,JANESVILLE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
ESM FARM EQUIPMENT LTD.,NBM436669,,L220,0011697439,,Delivered to Destination,ZT56,4/29/13,9:18:07 AM,WALLENSTEIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
MESSICK FARM EQUIPMENT INC.,NBM443587,,SV185,0011698903,,Delivered to Destination,ZT56,5/16/13,1:19:05 PM,ELIZABETHTOWN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"ZIMMERMAN'S FARM SERVICE, INC.",NCM445226,,SV300,0011699393,,Delivered to Destination,ZT56,6/26/13,10:18:51 AM,BETHEL,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"A & C FARM SERVICE, INC.",NDM453018,,L223,0011979285,,Delivered to Destination,ZT56,6/21/13,12:24:19 PM,PAYNESVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
CARIBBEAN WELDING SUPPLIES LTD,NBM430872,,SR200,0011689128,,Export Vessel Sailed,ZT72,6/11/13,2:57:51 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
ST. CATHARINES NEW HOLLAND LTD.,NBM439571,,L215,0011690292,,Delivered to Destination,ZT56,5/7/13,4:17:46 PM,ST CATHARINES,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
Bypass Rental Centers of Winchester,NCM455098,,L220,0011696304,,Delivered to Destination,ZT56,5/23/13,3:18:02 PM,Winchester,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Premier Rental DRY
"HANEY FARM & RANCH, INC.",NBM434360,,SR250,0011700798,,Delivered to Destination,ZT56,4/30/13,5:18:02 PM,ROCKMART,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MID-SOUTH AGRICULTURAL EQUIPMENT, I",NBM436663,,L220,0011700914,,Delivered to Destination,ZT56,4/2/13,10:20:08 AM,BYHALIA,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
STOLTZ SALES & SERVICE (MILDMAY) LI,NBM432152,,SR220,0011700647,,Delivered to Destination,ZT56,6/25/13,2:18:31 PM,MILDMAY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROLLINS MACHINERY LTD.,NCM455100,,L220,0011701126,,Delivered to Destination,ZT56,6/25/13,4:18:29 PM,CHILLIWACK,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NBM425028,,SR130,0011706032,,Delivered to Destination,ZT56,5/29/13,8:48:18 AM,MANOR,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"GREENVILLE TRACTOR CO., INC.",NBM434947,,L223,0011701832,,Delivered to Destination,ZT56,6/3/13,2:17:57 PM,GREENVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"A & C FARM SERVICE, INC.",NDM453016,,L223,0011979286,,Delivered to Destination,ZT56,6/21/13,12:24:18 PM,PAYNESVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
HEARTLAND TRACTOR COMPANY,NBM428448,,SR175,0011729135,,Delivered to Destination,ZT56,4/23/13,5:18:16 PM,NEVADA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
CNH INDUSTRIAL LATIN AMERICA LTDA,NDM461429,,SR175NA CASE,0011928184,,Export Vessel Sailed,ZT72,3/29/13,11:32:54 AM,IN TRANSIT,BRZ CASE,WI01,WI01,BRAZIL CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
DELTA POWER EQUIPMENT (FOREST) LTD.,NCM453106,,SR200,0011732718,,Delivered to Destination,ZT56,4/5/13,4:17:32 PM,FOREST,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"HENNESSEY IMPLEMENT, INC.",NCM458733,,L213,0011734826,,Delivered to Destination,ZT56,6/21/13,8:18:11 AM,DODGEVILLE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
REGIONAL TRACTOR SALES LTD.,NCM447766,,L218,0011734353,,Delivered to Destination,ZT56,5/3/13,11:18:08 AM,FREELTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"ASSOCIATED SUPPLY COMPANY, INC.",NCM445232,,SV300,0011734825,,Delivered to Destination,ZT56,5/13/13,11:19:51 AM,GAINESVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
SERVICE AGROMECANIQUE INC.,NCM426991,,SR150,0011732172,,Delivered to Destination,ZT56,6/5/13,9:17:58 AM,SAINT-CLEMENT,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"CHEROKEE GARAGE, INC.",NDM449123,,L218,0011933667,,Delivered to Destination,ZT56,6/7/13,4:18:15 PM,COLBY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
DAVID L & DENNIS D MEYER,NCM443829,,SV185,0011732992,,Delivered to Destination,ZT56,6/12/13,4:18:11 PM,Ridgeville Corners,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
TITAN MACHINERY INC.,NCM446322,,L225,0011737408,,Delivered to Destination,ZT56,4/30/13,6:47:48 PM,ALBERT LEA,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
"RIVER VALLEY NEW HOLLAND, INC.",NBM438625,,L218-NA,0011769864,,Delivered to Destination,ZT56,6/28/13,4:19:51 PM,OTEGO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
PERTILCO S.A.,NBM435015,,L223-NA,0011770317,,Export Vessel Sailed,ZT72,4/30/13,4:46:43 PM,IN TRANSIT,ROME NH L,WI01,WI01,LOC ROME NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NORDEMAQ S.A.,NBM435016,,L223-NA,0011770318,,Export Vessel Sailed,ZT72,7/5/13,10:03:26 AM,IN TRANSIT,ARG NH L,WI01,WI01,LOC ARGENTINA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"NEW HOLLAND ROCHESTER, INC.",NCM439724,,L215,0011772030,,Delivered to Destination,ZT56,6/24/13,3:21:01 PM,LOGANSPORT,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"AG-INDUSTRIAL, INC.",NCM455354,,L220,0011781919,,Delivered to Destination,ZT56,5/3/13,10:19:49 AM,NEW HOLLAND,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
VALLEY INDUSTRIES (2007) LTD.,NCM455860,,L220,0011781382,,Delivered to Destination,ZT56,5/29/13,1:48:02 PM,KENTVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
VALLEY INDUSTRIES (2007) LTD.,NCM446621,,L225,0011781397,,Delivered to Destination,ZT56,5/22/13,2:18:51 PM,LOWER TRURO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"KELLY FORD TRACTOR, INC.",NCM439730,,L215,0011779417,,Delivered to Destination,ZT56,5/14/13,9:17:47 AM,LONGVIEW,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
REGIONAL TRACTOR SALES LTD.,NCM447784,,L218,0011788227,,Delivered to Destination,ZT56,5/8/13,9:18:33 AM,FREELTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
NORDEMAQ S.A.,NCM452207,,L223-NA,0011783297,,Export Vessel Sailed,ZT72,7/5/13,10:03:00 AM,IN TRANSIT,ARG NH L,WI01,WI01,LOC ARGENTINA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"B & R FARM EQUIPMENT, INC.",NCM452243,,L223,0011787695,,Delivered to Destination,ZT56,5/22/13,10:19:27 AM,Milroy,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"AGRI-POWER, INC.",NCM457229,,SR220,0011787221,,Delivered to Destination,ZT56,5/1/13,2:17:49 PM,HOPKINSVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Matured Financing
"ADKINS EQUIPMENT, INC.",NCM455317,,L220,0011786257,,Delivered to Destination,ZT56,6/10/13,6:19:50 PM,DETROIT LAKES,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"QUINCY TRACTOR, LLC",NCM446271,,L225,0011788213,,Delivered to Destination,ZT56,5/16/13,1:19:44 PM,QUINCY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
DELTA POWER EQUIPMENT (WATFORD) LTD,NCM452413,,L223,0011781951,,Delivered to Destination,ZT56,5/31/13,10:48:32 AM,WATFORD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"PATRICK TRACTOR COMPANY, INC.",NCM458735,,L213,0011786165,,Delivered to Destination,ZT56,4/24/13,7:17:54 AM,TIFTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"FORRESTER FARM EQUIPMENT, LTD.",NCM455919,,L220,0011782269,,Delivered to Destination,ZT56,4/17/13,3:21:41 PM,CHAMBERSBURG,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium-Liner (70 OTW),,,Retail
REGIONAL TRACTOR SALES LTD.,NBM447291,,L218,0011775252,,Delivered to Destination,ZT56,5/3/13,11:18:40 AM,FREELTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
BAKER & SONS EQUIPMENT CO.,NCM447751,,L218,0011784556,,Delivered to Destination,ZT56,4/8/13,9:18:24 AM,LEWISVILLE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
ROBERT'S FARM EQUIPMENT SALES INC.,NCM455639,,L220,0011788487,,Delivered to Destination,ZT56,5/31/13,3:20:06 PM,CHESLEY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
NORDEMAQ S.A.,NCM452210,,L223-NA,0011783300,,Export Vessel Sailed,ZT72,7/5/13,10:02:46 AM,IN TRANSIT,ARG NH L,WI01,WI01,LOC ARGENTINA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"NEW HOLLAND CORTLAND, INC.",NCM439751,,L215,0011786748,,Delivered to Destination,ZT56,4/30/13,5:19:27 PM,VESTAL,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
