Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,Char. 4,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM467540,SR200/SR210,SR200-CANADA,0012196792,,Delivered to Destination,ZT56,4/29/14,6:38:06 PM,GRANDE PRAIRIE,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM467535,SR200/SR210,SR200-CANADA,0012196793,,Delivered to Destination,ZT56,3/20/14,6:37:26 PM,CALGARY,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Matured Financing
"GARTON TRACTOR, INC.",NEM474645,L223,L223-T4B,0012185921,,Delivered to Destination,ZT56,4/3/14,1:37:21 PM,TURLOCK,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Non-Pneumatic (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM468697,SR220,SR220-CANADA,0012196805,,Delivered to Destination,ZT56,3/11/14,8:17:42 AM,GRANDE PRAIRIE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM468698,SR220,SR220-CANADA,0012196806,,Delivered to Destination,ZT56,3/13/14,12:16:26 PM,EDMONTON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM468732,SR220,SR220-CANADA,0012196808,,Delivered to Destination,ZT56,4/21/14,12:06:29 PM,RED DEER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MILLER-BRADFORD & RISBERG, INC.",NEM469680,SV250,SV250-T4 INTERIM,0012196838,,Delivered to Destination,ZT56,3/6/14,11:24:07 AM,EAU CLAIRE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
TITAN MACHINERY INC.,NEM478193,SR200/SR210,SR210-T4 FINAL,0012196883,,Delivered to Destination,ZT56,2/27/14,12:51:24 PM,DAVENPORT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NEM468724,SR220,SR220-T4 INTERIM,0012196886,,Delivered to Destination,ZT56,3/11/14,3:55:19 PM,CENTER POINT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
HI LINE FARM EQUIPMENT LTD.,NEM469695,SV250,SV250-CANADA,0012197117,,Delivered to Destination,ZT56,3/26/14,12:05:21 PM,WETASKIWIN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium-Liner (70 OTW),,,Retail
HI LINE FARM EQUIPMENT LTD.,NEM469696,SV250,SV250-CANADA,0012197119,,Delivered to Destination,ZT56,3/19/14,4:06:14 PM,WETASKIWIN,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
HI LINE FARM EQUIPMENT LTD.,NEM469743,SV250,SV250-CANADA,0012197120,,Delivered to Destination,ZT56,4/29/14,6:37:53 PM,WETASKIWIN,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
HI LINE FARM EQUIPMENT LTD.,NEM468701,SR220,SR220-CANADA,0012197121,,Delivered to Destination,ZT56,3/13/14,12:16:22 PM,WETASKIWIN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
HI LINE FARM EQUIPMENT LTD.,NEM467537,SR200/SR210,SR200-CANADA,0012197131,,Delivered to Destination,ZT56,3/20/14,6:37:37 PM,WETASKIWIN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
WEBB'S MACHINERY (VEGREVILLE) LTD.,NEM473810,L225,L225-CANADA,0012197163,,Delivered to Destination,ZT56,3/18/14,9:21:58 AM,VEGREVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"GARTON TRACTOR, INC.",NEM473731,L225,L225-T4A,0012185922,,Delivered to Destination,ZT56,3/12/14,9:41:38 AM,TURLOCK,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Non-Pneumatic (70 OTW),,,Retail
"BALE EQUIPMENT RENTAL, LLC",NEM477409,SR250,SR250-T4 INTERIM,0012197187,,Delivered to Destination,ZT56,2/25/14,12:38:03 PM,LOUISVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
STRONGCO LIMITED PARTNERSHIP,NEM469745,SV250,SV250-CANADA,0012197228,,Delivered to Destination,ZT56,4/2/14,2:23:26 PM,Brampton,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Retail
LONGUS EQUIPEMENT INC.,NEM467538,SR200/SR210,SR200-CANADA,0012197237,,Delivered to Destination,ZT56,3/14/14,6:34:53 PM,LAVAL,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
FUTURE AG INC.,NEM467539,SR200/SR210,SR200-CANADA,0012197273,,Delivered to Destination,ZT56,3/20/14,4:25:31 PM,RED DEER COUNTY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"SWIDERSKI POWER, INC.",NEM479965,L221,L221-T4B,0012199778,,Delivered to Destination,ZT56,3/27/14,1:56:53 PM,APPLETON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
FUTURE AG INC.,NEM468702,SR220,SR220-CANADA,0012197284,,Delivered to Destination,ZT56,3/4/14,1:35:40 PM,RED DEER COUNTY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"TIMMER IMPLEMENT, INC.",NEM473646,L225,L225-T4A,0012197289,,Delivered to Destination,ZT56,2/17/14,12:52:49 PM,PEASE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477455,SR250,SR250-CANADA,0012197336,,Delivered to Destination,ZT56,3/13/14,12:46:41 PM,EDMONTON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477454,SR250,SR250-CANADA,0012197342,,Delivered to Destination,ZT56,3/13/14,12:16:28 PM,WESTLOCK,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477423,SR250,SR250-CANADA,0012197343,,Delivered to Destination,ZT56,3/28/14,12:28:57 PM,RED DEER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477424,SR250,SR250-CANADA,0012197345,,Delivered to Destination,ZT56,3/28/14,12:29:03 PM,CALGARY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477426,SR250,SR250-CANADA,0012197349,,Delivered to Destination,ZT56,3/28/14,12:29:08 PM,LETHBRIDGE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477443,SR250,SR250-CANADA,0012197351,,Delivered to Destination,ZT56,3/18/14,10:17:02 AM,CALGARY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477444,SR250,SR250-CANADA,0012197352,,Delivered to Destination,ZT56,3/13/14,12:16:25 PM,EDMONTON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477471,SR250,SR250-CANADA,0012197353,,Delivered to Destination,ZT56,4/17/14,7:01:59 AM,WESTLOCK,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Dealer Inventory
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477430,SR250,SR250-CANADA,0012197499,,Delivered to Destination,ZT56,3/17/14,1:55:53 PM,TABER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM477431,SR250,SR250-CANADA,0012197501,,Delivered to Destination,ZT56,3/11/14,8:17:33 AM,TABER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM469697,SV250,SV250-CANADA,0012197510,,Delivered to Destination,ZT56,3/11/14,8:17:41 AM,VERMILION,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
NOBLE TRACTOR & EQUIPMENT LTD.,NEM469700,SV250,SV250-CANADA,0012197512,,Delivered to Destination,ZT56,3/13/14,12:46:46 PM,ARMSTRONG,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM470099,SV300,SV300-CANADA,0012197528,,Delivered to Destination,ZT56,3/13/14,12:46:35 PM,VERMILION,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM470100,SV300,SV300-CANADA,0012197529,,Delivered to Destination,ZT56,3/21/14,12:19:51 PM,CALGARY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM470101,SV300,SV300-CANADA,0012197530,,Delivered to Destination,ZT56,3/18/14,10:17:04 AM,RED DEER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
ROCKY MOUNTAIN EQUIPMENT CANADA LTD,NEM470103,SV300,SV300-CANADA,0012197532,,Delivered to Destination,ZT56,3/13/14,12:46:44 PM,RED DEER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"NEUMAN NEW HOLLAND, LLC",NEM474616,L223,L223-T4B,0012211301,,Delivered to Destination,ZT56,2/27/14,1:04:43 PM,UNION CENTER,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
TITAN MACHINERY INC.,NEM469681,SV250,SV250-T4 INTERIM,0012197557,,Delivered to Destination,ZT56,3/10/14,9:57:33 AM,Dickinson,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"CARL F. STATZ & SONS, INC.",NEM478222,SR200/SR210,SR210-T4 FINAL,0012197559,,Delivered to Destination,ZT56,4/11/14,3:57:43 PM,WAUNAKEE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NEM477418,SR250,SR250-T4 INTERIM,0012197573,,Delivered to Destination,ZT56,2/17/14,1:15:30 PM,Dickinson,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"STOLLER INTERNATIONAL, INC.",NEM470071,SV300,SV300-T4 INTERIM,0012197623,,Delivered to Destination,ZT56,2/14/14,12:12:41 PM,HERSCHER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
SIMPSON'S TRACTOR INC.,NEM475358,L220,L220-T4B,0012197899,,Delivered to Destination,ZT56,2/27/14,1:04:42 PM,RICHLAND CENTER,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
LEWIS IMPLEMENT COMPANY,NEM474604,L223,L223-T4B,0012198038,,Delivered to Destination,ZT56,2/26/14,10:15:10 AM,HUMBOLDT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
LEWIS IMPLEMENT COMPANY,NEM472774,L230,L230-T4A,0012198041,,Delivered to Destination,ZT56,3/7/14,12:25:52 PM,HUMBOLDT,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
TITAN MACHINERY INC.,NEM468725,SR220,SR220-T4 INTERIM,0012198114,,Delivered to Destination,ZT56,3/17/14,12:13:41 PM,COLORADO SPRINGS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Dealer Inventory
TITAN MACHINERY INC.,NEM470073,SV300,SV300-T4 INTERIM,0012198145,,Delivered to Destination,ZT56,2/14/14,3:46:37 PM,COMMERCE CITY,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NEM470117,SV300,SV300-T4 INTERIM,0012198152,,Delivered to Destination,ZT56,3/17/14,12:13:42 PM,CHEYENNE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
TITAN MACHINERY INC.,NEM469682,SV250,SV250-T4 INTERIM,0012198220,,Delivered to Destination,ZT56,3/6/14,11:24:03 AM,CENTER POINT,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
TITAN MACHINERY INC.,NEM477402,SR250,SR250-T4 INTERIM,0012198222,,Delivered to Destination,ZT56,2/13/14,7:56:25 AM,CENTER POINT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
TITAN MACHINERY INC.,NEM469637,SV250,SV250-T4 INTERIM,0012198232,,Delivered to Destination,ZT56,2/17/14,3:33:32 PM,GREENFIELD,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NEM477462,SR250,SR250-T4 INTERIM,0012198259,,Delivered to Destination,ZT56,4/14/14,6:44:43 AM,BOLINGBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Mining (70 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NEM478212,SR200/SR210,SR210-T4 FINAL,0012198260,,Delivered to Destination,ZT56,2/27/14,8:07:22 AM,SCHERERVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NEM477403,SR250,SR250-T4 INTERIM,0012198268,,Delivered to Destination,ZT56,3/7/14,9:16:27 AM,SCHERERVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Mining (70 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NEM469716,SV250,SV250-T4 INTERIM,0012198269,,Delivered to Destination,ZT56,4/1/14,2:28:56 PM,SCHERERVILLE,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Dealer Inventory
"MC CANN INDUSTRIES, INC.",NEM469714,SV250,SV250-T4 INTERIM,0012198270,,Delivered to Destination,ZT56,4/11/14,3:57:40 PM,BOLINGBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NEM470066,SV300,SV300-T4 INTERIM,0012198271,,Delivered to Destination,ZT56,3/22/14,10:14:41 AM,MCHENRY,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Dealer Inventory
"MC CANN INDUSTRIES, INC.",NEM470077,SV300,SV300-T4 INTERIM,0012198273,,Delivered to Destination,ZT56,3/13/14,1:42:01 PM,BOLINGBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NEM470080,SV300,SV300-T4 INTERIM,0012198275,,Delivered to Destination,ZT56,4/1/14,12:13:58 PM,BOLINGBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,14x17.5 Premium (76 OTW),,,Dealer Inventory
F & W EQUIPMENT CORP.,NEM468726,SR220,SR220-T4 INTERIM,0012198314,,Delivered to Destination,ZT56,3/14/14,3:44:59 PM,ORANGE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"ASHLAND TRACTOR SALES, INC.",NEM473875,L225,L225-T4A,0012198376,,Delivered to Destination,ZT56,4/3/14,9:14:00 AM,ASHLAND,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"UNICOOP, COOPERATIVE AGRICOLE",NEM477988,L215/L216,L216-T4B,0012198395,,Delivered to Destination,ZT56,3/3/14,5:33:56 PM,SAINT-ANSELME,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"REEMAN FARM EQUIPMENT, INC.",NEM478213,SR200/SR210,SR210-T4 FINAL,0012198443,,Delivered to Destination,ZT56,2/27/14,8:07:35 AM,FREMONT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"GAITHERSBURG FARMERS SUPPLY, INC.",NEM475457,L220,L220-T4B,0012198592,,Delivered to Destination,ZT56,3/28/14,9:45:04 AM,GAITHERSBURG,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"GAITHERSBURG FARMERS SUPPLY, INC.",NEM474605,L223,L223-T4B,0012198598,,Delivered to Destination,ZT56,2/28/14,5:35:37 PM,GAITHERSBURG,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"GAITHERSBURG FARMERS SUPPLY, INC.",NEM473734,L225,L225-T4A,0012198608,,Delivered to Destination,ZT56,3/18/14,11:32:39 AM,GAITHERSBURG,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"GAITHERSBURG FARMERS SUPPLY, INC.",NEM472762,L230,L230-T4A,0012198628,,Delivered to Destination,ZT56,3/10/14,7:29:28 AM,GAITHERSBURG,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Dealer Inventory
"GAITHERSBURG FARMERS SUPPLY, INC.",NEM472765,L230,L230-T4A,0012198629,,Delivered to Destination,ZT56,3/10/14,7:29:25 AM,GAITHERSBURG,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
"GAITHERSBURG FARMERS SUPPLY, INC.",NEM472766,L230,L230-T4A,0012198634,,Delivered to Destination,ZT56,3/25/14,2:28:38 AM,GAITHERSBURG,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Dealer Inventory
"MAIN & PINCKNEY EQUIPMENT, INC.",NEM484790,L218,L218-T4B,0012198697,,Delivered to Destination,ZT56,4/4/14,7:39:11 AM,AUBURN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
"ADKINS EQUIPMENT, INC.",NEM476788,L218,L218-T4B,0012198771,,Delivered to Destination,ZT56,3/3/14,10:59:46 AM,DETROIT LAKES,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
CASE CONSTRUCTION MACHINERY (SHANGH,NEM470058,SV300,SV300-NR,0012198783,,Export Vessel Sailed,ZT72,4/1/14,1:43:11 PM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CASE CONSTRUCTION MACHINERY (SHANGH,NEM470057,SV300,SV300-NR,0012198784,,Export Vessel Sailed,ZT72,4/1/14,1:43:25 PM,IN TRANSIT,CHINA CS,WI01,WI01,CHINA CASE/CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"MONROE TRACTOR & IMPLEMENT CO., INC",NEM478214,SR200/SR210,SR210-T4B,0012198792,,Delivered to Destination,ZT56,3/26/14,9:19:39 AM,BATAVIA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LINDEMAN TRACTOR, INC.",NEM472767,L230,L230-T4A,0012198881,,Delivered to Destination,ZT56,3/7/14,12:25:54 PM,ATLANTIC,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Dealer Inventory
ST. JOSEPH EQUIPMENT INC.,NEM476790,L218,L218-T4B,0012198954,,Delivered to Destination,ZT56,2/27/14,6:58:33 AM,EYOTA,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"HOPF EQUIPMENT, INC.",NEM470060,SV300,SV300-T4A,0012199185,,Delivered to Destination,ZT56,2/13/14,8:06:08 AM,HUNTINGBURG,NA CASE,WI01,WI01,NA CASE / CASE IH,33X15.5 Flotation (76 OTW),,,Retail
"GOLDEN RULE EQUIPMENT, LLC",NEM473735,L225,L225-T4A,0012199211,,Delivered to Destination,ZT56,3/11/14,1:44:54 PM,BEAVERTOWN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"SEQUOIA EQUIPMENT COMPANY, INC.",NEM466137,SR175,SR175-T4B,0012199319,,Delivered to Destination,ZT56,3/11/14,10:47:09 AM,FRESNO,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
"SEQUOIA EQUIPMENT COMPANY, INC.",NEM466136,SR175,SR175-T4B,0012199320,,Delivered to Destination,ZT56,3/11/14,10:46:43 AM,FRESNO,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
"J. DAVID MULLINIX & SONS, INC.",NEM476792,L218,L218-T4B,0012199610,,Delivered to Destination,ZT56,2/27/14,1:54:46 PM,DAYTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"J. DAVID MULLINIX & SONS, INC.",NEM474606,L223,L223-T4B,0012199612,,Delivered to Destination,ZT56,2/28/14,5:35:36 PM,DAYTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"J. DAVID MULLINIX & SONS, INC.",NEM484791,L218,L218-T4B,0012199616,,Delivered to Destination,ZT56,4/2/14,6:36:14 PM,DAYTON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
"SWIDERSKI POWER, INC.",NEM484874,L218,L218-T4B,0012199834,,Delivered to Destination,ZT56,4/7/14,10:08:15 AM,APPLETON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"SWIDERSKI POWER, INC.",NEM484875,L218,L218-T4B,0012199859,,Delivered to Destination,ZT56,4/7/14,3:51:10 PM,APPLETON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
"SWIDERSKI POWER, INC.",NEM484835,L218,L218-T4B,0012199870,,Delivered to Destination,ZT56,3/24/14,4:09:19 PM,APPLETON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"PLAINVIEW AGRI POWER, INC.",NEM469638,SV250,SV250-T4A,0012199888,,Delivered to Destination,ZT56,2/13/14,7:56:29 AM,PLAINVIEW,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"SWIDERSKI POWER, INC.",NEM477997,L215/L216,L216-T4B,0012199891,,Delivered to Destination,ZT56,4/7/14,3:51:09 PM,APPLETON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"K. & L. TRACTOR SALES, INC.",NEM476793,L218,L218-T4B,0012199893,,Delivered to Destination,ZT56,3/4/14,11:20:40 AM,FORT RECOVERY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"FRANKLIN EQUIPMENT, LLC",NEM484838,L218,L218-T4B,0012199924,,Delivered to Destination,ZT56,3/31/14,12:09:30 PM,DUBLIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Severe Duty (64 OTW),,,Premier Rental DRY
"FRANKLIN EQUIPMENT, LLC",NEM484837,L218,L218-T4B,0012199925,,Delivered to Destination,ZT56,3/26/14,2:21:02 PM,DUBLIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Severe Duty (64 OTW),,,Premier Rental DRY
STRONGCO LIMITED PARTNERSHIP,NEM477441,SR250,SR250-CANADA,0012199926,,Delivered to Destination,ZT56,3/4/14,8:41:27 AM,PICKERING,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Retail
"FRANKLIN EQUIPMENT, LLC",NEM483600,L223,L223-T4B,0012199936,,Delivered to Destination,ZT56,3/31/14,1:12:02 PM,DUBLIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
"FRANKLIN EQUIPMENT, LLC",NEM483602,L223,L223-T4B,0012199939,,Delivered to Destination,ZT56,3/31/14,12:09:29 PM,DUBLIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
"FRANKLIN EQUIPMENT, LLC",NEM483601,L223,L223-T4B,0012199941,,Delivered to Destination,ZT56,3/31/14,1:12:00 PM,DUBLIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
"FRANKLIN EQUIPMENT, LLC",NEM483603,L223,L223-T4B,0012199944,,Delivered to Destination,ZT56,3/31/14,1:12:01 PM,DUBLIN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
"BOBCO, INC.",NEM484839,L218,L218-T4B,0012200008,,Delivered to Destination,ZT56,3/27/14,3:17:01 PM,CHARLOTTE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Dealer Inventory
"FRANKLIN EQUIPMENT, LLC",NEM483604,L223,L223-T4B,0012200022,,Delivered to Destination,ZT56,4/1/14,5:02:31 PM,GROVEPORT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
"FRANKLIN EQUIPMENT, LLC",NEM483605,L223,L223-T4B,0012200023,,Delivered to Destination,ZT56,3/31/14,11:41:22 AM,GROVEPORT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
"FRANKLIN EQUIPMENT, LLC",NEM483606,L223,L223-T4B,0012200024,,Delivered to Destination,ZT56,4/9/14,8:06:05 AM,GROVEPORT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Premier Rental DRY
