Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,Char. 4,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
CNH INDUSTRIAL (RUSSIA) COMMERCIAL,NCM439803,,L215-NA,0011800345,,Export Vessel Sailed,ZT72,4/6/14,6:28:48 PM,IN TRANSIT,RUSSIA NHL,WI01,WI01,RUSSIA NH AGCE LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"ZIMMERMAN'S FARM SERVICE, INC.",NCM427117,,SR150,0011811742,,Delivered to Destination,ZT56,1/30/14,3:47:43 PM,BETHEL,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
FENIE BROSSETTE,NCM452244,,L223-NA,0011804132,,Export Vessel Sailed,ZT72,3/26/14,12:12:14 PM,IN TRANSIT,MOROC NH L,WI01,WI01,MOROCCO NH AGCE LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
TITAN MACHINERY INC.,NCM455640,,L220,0011815751,,Delivered to Destination,ZT56,1/10/14,3:19:26 PM,FARGO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LOWE & YOUNG, INC.",NCM439847,,L215,0011816264,,Delivered to Destination,ZT56,2/20/14,1:19:05 PM,WOOSTER,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"B & R FARM EQUIPMENT, INC.",NCM455630,,L220,0011824374,,Delivered to Destination,ZT56,2/26/14,7:18:15 AM,BEAVERTOWN,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
DAVID L & DENNIS D MEYER,NCM443930,,SV185,0011822487,,Delivered to Destination,ZT56,1/14/14,10:19:47 AM,Ridgeville Corners,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Dealer Inventory
DELTA POWER EQUIPMENT (FOREST) LTD.,NCM428717,,SR175,0011823655,,Delivered to Destination,ZT56,1/10/14,9:19:40 AM,FOREST,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"CLAPP ENTERPRISES, LLC",NCM446961,,L225,0011824206,,Delivered to Destination,ZT56,2/25/14,8:17:52 AM,SILER CITY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
STOLTZ SALES & SERVICE (ELMIRA) LIM,NCM457374,,SR220,0011820351,,Delivered to Destination,ZT56,1/8/14,2:19:04 PM,ELMIRA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Matured Financing
ARCHBOLD EQUIPMENT COMPANY,NCM454000,,SR200,0011822178,,Delivered to Destination,ZT56,2/11/14,9:18:11 AM,TOPEKA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
BIG SKY EQUIPMENT CO.,NCM455779,,L220,0011826694,,Delivered to Destination,ZT56,3/31/14,2:19:23 PM,CONRAD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LOWE & YOUNG, INC.",NCM439841,,L215,0011820631,,Delivered to Destination,ZT56,2/25/14,12:19:46 PM,WOOSTER,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"RPM MACHINERY, LLC",NCM441812,,SR130,0011819602,,Delivered to Destination,ZT56,3/31/14,1:48:14 PM,LAFAYETTE,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
HYLSA,NCM453849,,SR200,0011821097,,Export Vessel Sailed,ZT72,2/3/14,4:25:47 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
HYLSA,NCM454056,,SR200,0011821100,,Export Vessel Sailed,ZT72,2/3/14,4:25:32 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"OCALA TRACTOR, LLC",NCM448115,,L218,0011829096,,Delivered to Destination,ZT56,1/8/14,10:19:53 AM,OCALA,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"UNICOOP, COOPERATIVE AGRICOLE",NCM448284,,L218,0011827397,,Delivered to Destination,ZT56,3/13/14,12:18:26 PM,STE-MARIE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
TECHPORTAVTOSERVICE LTD,NCM442694,,SR250-NA,0011836881,,Export Vessel Sailed,ZT72,4/23/14,11:00:40 AM,IN TRANSIT,RUSSIA CSL,WI01,WI01,RUSSIA CASE/CASE IH LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MODERN EQUIPMENT SALES & RENTAL COM,NCM456261,,L220,0011855838,,Delivered to Destination,ZT56,2/10/14,2:18:51 PM,EDISON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"SONSRAY MACHINERY, LLC",NCM453966,,SR200,0011854989,,Delivered to Destination,ZT56,1/28/14,5:18:55 PM,PORTLAND,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium-Liner (64 OTW),,,Retail
TITAN MACHINERY INC.,NCM455980,,L220,0011854806,,Delivered to Destination,ZT56,1/10/14,3:19:47 PM,FARGO,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"CENTRAL NEW HOLLAND, INC.",NCM452508,,L223,0011853213,,Delivered to Destination,ZT56,3/14/14,12:18:37 PM,OKLAHOMA CITY,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
BURKHART FARM CENTER,NCM443961,,SV185,0011850661,,Delivered to Destination,ZT56,1/27/14,9:18:00 AM,BUCYRUS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
JANSON EQUIPMENT CO.,NCM454285,,SR200,0011860197,,Delivered to Destination,ZT56,3/6/14,2:19:23 PM,CHARLOTTE,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"G, J & L INC.",NCM451131,,SR150,0011859650,,Delivered to Destination,ZT56,1/27/14,10:18:41 AM,Conley,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
SOUTH FLORIDA NEW HOLLAND EQUIPMENT,NCM452475,,L223,0011847403,,Delivered to Destination,ZT56,3/14/14,2:19:00 PM,HOMESTEAD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"MC CANN INDUSTRIES, INC.",NCM457246,,SR220,0011851121,,Delivered to Destination,ZT56,1/18/14,7:18:03 AM,BOLINGBROOK,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"GAUSE EQUIPMENT, INC.",NCM443993,,SV185,0011854716,,Delivered to Destination,ZT56,3/19/14,11:17:57 AM,LISBON,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Premium (64 OTW),,,Retail
"OTTER SALES & SERVICE, INC.",NCM454356,,SR200,0011860209,,Delivered to Destination,ZT56,1/15/14,10:21:17 AM,BURLINGTON,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"OSENTOSKI FARM EQUIPMENT, INC.",NCM451134,,SR150,0011866657,,Delivered to Destination,ZT56,2/27/14,8:49:06 AM,BAD AXE,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
NAVITRANS S.A.,NCM454155,,SR200,0011865443,,Export Vessel Sailed,ZT72,1/28/14,4:36:57 PM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"WHITE'S FARM SUPPLY, INC.",NCM451182,,SR150,0011885198,,Delivered to Destination,ZT56,1/21/14,9:19:06 AM,CANASTOTA,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (59 OTW),,,Retail
"BEAVER MACHINE, INC.",NDM454615,,SR200,0011884321,,Outbound Delivery Shipped,ZT54,1/15/14,3:20:36 PM,COLEMAN,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Severe Duty (70 OTW),,,Retail
"ZIMMERMAN'S FARM SERVICE, INC.",NCM457481,,SR220,0011884390,,Delivered to Destination,ZT56,1/29/14,8:48:19 AM,BETHEL,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
CNH INDUSTRIAL LATIN AMERICA LTDA,NCM456185,,L220-NA,0011879405,,Export Vessel Sailed,ZT72,2/21/14,4:52:16 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NCM456324,,L220-NA,0011879406,,Export Vessel Sailed,ZT72,2/7/14,6:27:40 AM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NORDEMAQ S.A.,NCM456333,,L220-NA,0011879407,,Export Vessel Sailed,ZT72,2/27/14,4:25:49 PM,IN TRANSIT,ARG NH L,WI01,WI01,LOC ARGENTINA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NCM456169,,L220-NA,0011878644,,Export Vessel Sailed,ZT72,2/21/14,4:52:46 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
NORDEMAQ S.A.,NCM456336,,L220-NA,0011879408,,Export Vessel Sailed,ZT72,2/27/14,4:25:34 PM,IN TRANSIT,ARG NH L,WI01,WI01,LOC ARGENTINA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CNH INDUSTRIAL LATIN AMERICA LTDA,NCM456168,,L220-NA,0011879391,,Export Vessel Sailed,ZT72,2/21/14,4:52:58 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"EMPIRE TRACTOR, INC.",NDM456640,,L220,0011889317,,Delivered to Destination,ZT56,1/30/14,8:18:29 AM,BATAVIA,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
CNH INDUSTRIAL LATIN AMERICA LTDA,NCM456171,,L220-NA,0011879402,,Export Vessel Sailed,ZT72,2/21/14,4:52:31 PM,IN TRANSIT,BRZ NH L,WI01,WI01,LOC BRAZIL NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
CLINTON TRACTOR & IMPLEMENT COMPANY,NCM456298,,L220,0011889635,,Delivered to Destination,ZT56,2/28/14,11:49:43 AM,CLINTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"LANDMARK EQUIPMENT, INC.",NDM452834,,L223,0011939385,,Delivered to Destination,ZT56,2/25/14,1:19:48 PM,IRVING,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Severe Duty (70 OTW),,,Retail
J. R. BRISSON EQUIPEMENT LTEE.,NDM444120,,SV185,0011896239,,Delivered to Destination,ZT56,1/13/14,3:21:50 PM,VARS,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"VALLEY IMPLEMENT & MOTOR CO., INC.",NCM456301,,L220,0011902248,,Delivered to Destination,ZT56,1/27/14,8:20:11 AM,PRESTON,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
EMEA ENTERPRISES (PTY) LTD,NCM461067,,L225-NA,0011916715,,Export Vessel Sailed,ZT72,3/7/14,8:01:05 AM,IN TRANSIT,S.AFRC NHL,WI01,WI01,SOUTH AFRICA NH AGCE LOC,12x16.5 Severe Duty (70 OTW),,,Dealer Inventory
TITAN MACHINERY INC.,NDM461444,,SR175,0011929262,,Delivered to Destination,ZT56,3/31/14,10:19:03 AM,COMMERCE CITY,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
"PAINTER FARM EQUIPMENT, INC.",NDM458255,,L215,0012064116,,Delivered to Destination,ZT56,1/27/14,1:32:56 PM,MONMOUTH,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"CAPITAL TRACTOR, INC.",NDM458256,,L215,0012064117,,Delivered to Destination,ZT56,1/13/14,10:17:06 AM,GREENWICH,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (59 OTW),,,Retail
"SANDHILL EQUIPMENT, INC.",NDM452832,,L223,0011933419,,Delivered to Destination,ZT56,1/29/14,11:48:06 AM,BASSETT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium-Liner (70 OTW),,,Retail
DOOLEY TRACTOR CO.,NDM448833,,L218,0011933453,,Delivered to Destination,ZT56,1/31/14,12:18:44 PM,ATHENS,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium-Liner (64 OTW),,,Retail
